Site,Título,URL,Dia,Mês,bolsonaro,caracteres total,palavras total,caracteres sem nome,palavras sem nome
R7,Ex-assessor de Flávio Bolsonaro fez saques de R$ 661 mil em 18 meses</a,https://noticias.r7.com/brasil/ex-assessor-de-flavio-bolsonaro-fez-saques-de-r-661-mil-em-18-meses-17052019,2019-05-17,2019-05,Sim,71,11,55,9
Folha,Flávio! Chega de mimimilícias!,https://www1.folha.uol.com.br/colunas/josesimao/2019/05/flavio-chega-de-mimimilicias.shtml,2019-05-18,2019-05,Não,30,7,24,6
Folha,Defesa de Queiroz pede à Justiça anulação de quebra de sigilo no caso Flávio,https://www1.folha.uol.com.br/poder/2019/05/defesa-de-queiroz-pede-a-justica-anulacao-de-quebra-de-sigilo-no-caso-flavio.shtml,2019-05-18,2019-05,Não,76,6,70,5
O Globo,Justiça do Rio determina acesso a notas fiscais de compras feitas por Flávio Bolsonaro e Queiroz,https://oglobo.globo.com/brasil/justica-do-rio-determina-acesso-notas-fiscais-de-compras-feitas-por-flavio-bolsonaro-queiroz-23676363,2019-05-18,2019-05,Sim,96,7,80,5
Veja,Investigação de Flávio Bolsonaro atinge assessor de Mourão,https://veja.abril.com.br/politica/investigacao-de-flavio-bolsonaro-atinge-assessor-de-mourao/,2019-05-18,2019-05,Sim,58,12,42,10
Veja,MP investigará notas fiscais emitidas por Queiroz e Flávio Bolsonaro,https://veja.abril.com.br/politica/mp-investigara-notas-fiscais-emitidas-por-queiroz-e-flavio-bolsonaro/,2019-05-18,2019-05,Sim,68,2,52,0
Valor,Justiça manda Receita fornecer notas fiscais de Flávio Bolsonaro,https://www.valor.com.br/politica/6264855/justica-manda-receita-fornecer-notas-fiscais-de-flavio-bolsonaro,2019-05-18,2019-05,Sim,64,7,48,5
R7,MP-RJ reage a ataques sobre as investigações de Flávio Bolsonaro</a,https://noticias.r7.com/brasil/mp-rj-reage-a-ataques-sobre-as-investigacoes-de-flavio-bolsonaro-18052019,2019-05-18,2019-05,Sim,67,5,51,3
Folha,"Investigações na Assembleia do Rio vão de Flávio a deputados de PT, PDT e PSC",https://www1.folha.uol.com.br/poder/2019/05/investigacoes-na-assembleia-do-rio-vao-de-flavio-a-deputados-de-pt-pdt-e-psc.shtml,2019-05-19,2019-05,Não,77,13,71,12
O Globo,"Além de Flávio Bolsonaro, oito deputados tiveram sigilo quebrado após relatório do Coaf",https://oglobo.globo.com/brasil/alem-de-flavio-bolsonaro-oito-deputados-tiveram-sigilo-quebrado-apos-relatorio-do-coaf-23677975,2019-05-19,2019-05,Sim,87,4,71,2
